Item,ORIGEN PROVEEDOR,PROVEEDOR CCIAL,Estado,COMPRAS
400157, ,9999 - OTROS,Inactivo,0002 - NO
400160, ,2628 - MATERIAS PRIMAS E INSUMOS PLANTA,Bloqueado,0002 - NO
39444,0002 - IMPORTADO,0167 - ORGILL INC,Bloqueado,0002 - NO
961771,0001 - NACIONAL,0223 - STANLEY BLACK & DECKER,Bloqueado,0002 - NO
16005,0001 - NACIONAL,0184 - FERRETERIA Y ELECTRICOS,Bloqueado,0002 - NO
204134, ,0223 - STANLEY BLACK & DECKER,Activo,0002 - NO
204141, ,9999 - OTROS,Activo,0002 - NO
204152, ,0223 - STANLEY BLACK & DECKER,Activo,0002 - NO
204158, ,9999 - OTROS,Activo,0002 - NO
204193, ,0223 - STANLEY BLACK & DECKER,Activo,0002 - NO
204202, ,0223 - STANLEY BLACK & DECKER,Activo,0002 - NO
11331,0001 - NACIONAL,0221 - SPECTRUM BRANDS,Bloqueado,0002 - NO
15535,0001 - NACIONAL,0188 - PINTURAS IDEA,Bloqueado,0002 - NO
201390, ,9999 - OTROS,Activo,0002 - NO
201420, ,0223 - STANLEY BLACK & DECKER,Activo,0002 - NO
29400,0002 - IMPORTADO,0167 - ORGILL INC,Bloqueado,0002 - NO
29841, , ,Activo,0002 - NO
202335, ,9999 - OTROS,Activo,0002 - NO
202353, ,0223 - STANLEY BLACK & DECKER,Activo,0002 - NO
202356, ,9999 - OTROS,Activo,0002 - NO
202362, ,0223 - STANLEY BLACK & DECKER,Activo,0002 - NO
12537,0002 - IMPORTADO,0137 - SAFE,Bloqueado,0002 - NO
41766,0001 - NACIONAL,0071 - GRIVAL,Bloqueado,0002 - NO
4030,0002 - IMPORTADO,0016 - BAHCO,Inactivo,0002 - NO
2332,0001 - NACIONAL,0083 - INCA,Bloqueado,0002 - NO
2349,0001 - NACIONAL,0091 - INVESA,Inactivo,0002 - NO
2358,0001 - NACIONAL,0091 - INVESA,Inactivo,0002 - NO
2366,0001 - NACIONAL,0091 - INVESA,Bloqueado,0002 - NO
2494,0001 - NACIONAL,0069 - GRICOL,Bloqueado,0002 - NO
4764,0001 - NACIONAL,0165 - VERA,Bloqueado,0002 - NO
4844,0001 - NACIONAL,0165 - VERA,Bloqueado,0002 - NO
4994,0001 - NACIONAL,0165 - VERA,Inactivo,0002 - NO
4107,0001 - NACIONAL,0087 - INDUMA,Bloqueado,0002 - NO
4122,0001 - NACIONAL,0082 - IMSA,Inactivo,0002 - NO
